央视,#genre#
CCTV1,http://106.115.26.37:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0001_1.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0002_1.m3u8
CCTV2,http://106.115.26.37:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0003_1.m3u8
CCTV3,http://106.115.26.37:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV4,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0004_1.m3u8
CCTV4,http://106.115.26.37:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0005_1.m3u8
CCTV5,http://106.115.26.37:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV6,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0006_1.m3u8
CCTV7,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0007_1.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV8,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0008_1.m3u8
CCTV9,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0009_1.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0010_1.m3u8
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV11,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0011_1.m3u8
CCTV12,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0012_1.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0013_1.m3u8 
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV14,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0014_1.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0015_1.m3u8
CCTV16,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0016_1.m3u8
CCTV17,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0017_1.m3u8
卫视,#genre#
江苏卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0127_1.m3u8
江苏卫视,http://106.115.26.37:9999/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0124_1.m3u8
浙江卫视,http://106.115.26.37:9999/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0128_1.m3u8
湖南卫视,http://106.115.26.37:9999/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0107_1.m3u8
东方卫视,http://106.115.26.37:9999/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0130_1.m3u8
北京卫视,http://106.115.26.37:9999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://114.254.146.111:8012/rtp/239.3.1.211:8064
